Prime Minister Narendra Modi met Her Majesty Queen Maxima of the Kingdom of the Netherlands today.	প্ৰধানমন্ত্ৰী নৰেন্দ্ৰ মোদীয়ে আজি নেদাৰলেণ্ডছৰ মহাৰাণী মহামহিম মেক্সিমাক সাক্ষাৎ কৰে৷
We deplore continued terrorist attacks, including against some BRICS countries.	বিশ্ব শান্তি আৰু সুস্থিৰতাৰ লক্ষ্যৰে ৰাষ্ট্ৰসংঘৰ নির্দেশনা অনুযায়ী কাম কৰাৰ বাবে আমি পুনৰ প্ৰতিশ্রুতিবদ্ধ হৈছো।
We condemn terrorism in all forms and manifestations, wherever committed and by whom so ever.	আন্তঃৰাষ্ট্ৰীয় পৰ্যায়ত শান্তি, সুস্থিৰতা বজাই ৰখাৰ বাবে আমি পাৰস্পৰিক সহযোগিতা বৃদ্ধিত সহমত প্ৰকাশ কৰিছো৷
In this work the core value and fundamental principles of the WTO should be preserved and interests of all WTO members should be reflected, in particular those of the developing members.	এই লক্ষ্যৰে বিশ্ব বাণিজ্য সংস্থাৰ সদস্যভুক্ত দেশগুলিৰ স্বার্থসমূহ প্ৰতিফলিত হ’ব লাগিব।
Its effective functioning will give members the required confidence to engage in future negotiating in the WTO.	আমি বিশ্ব বাণিজ্য সংস্থাৰ যথাযথ কাম–কাজৰ ওপৰত গুৰুত্ব আৰোপ কৰিছো৷ ই সঠিকভাবে কাম কৰিলে সদস্য দেশসমূহে ভৱিষ্যতে ইয়াৰ ওপৰত আস্থা বজাই ৰাখিব পাৰিব৷
We advocate for a strong Global Financial Safety Net with an adequately resourced, quota-based International Monetary Fund (IMF) at its centre.	আইএমএফৰ পঞ্চদশ সাধাৰণ পর্যালোচনা বৈঠকত যিবোৰ বিষয় উত্থাপন হৈছে, সেয়া যথাযথভাৱে পালন কৰিবলৈ আমি অংগীকাৰবদ্ধ।
The global economic expansion continues, however, it has been less balanced and downside risks have risen.	সর্বসন্মতভাবে মুক্ত বাণিজ্য, অর্থনৈতিক, সামাজিক আৰু পৰিৱেশগত উন্নয়নৰ লক্ষ্যৰে কাম কৰিব লাগিব।
We are concerned that the negative spill-overs by policy normalization from major advanced economies has been an important source of volatility of some emerging market economies witnessed recently.	আমি উন্নত দেশসমূহক তেওঁলোকৰ চৰকাৰী উন্নয়নমূলক সাহায্যৰ সম্পর্কে যি দায়বদ্ধতা আছে, তাৰ প্ৰতি সন্মান প্ৰদৰ্শনৰ আহ্বান জনোৱাৰ লগতে উন্নয়নশীল দেশসমূহক অতিৰিক্ত উন্নয়নমূলক সাহায্য সম্পদ যোগান ধৰিবলৈ অনুৰোধ জনাইছো৷
We express satisfaction with the achievements of BRICS cooperation in the areas of economy, peace and security and people-to-people exchanges under South Africa’s Chairship, including the establishment of the BRICS Partnership on New Industrial Revolution (PartNIR), the BRICS Vaccine Research and Development Centre, the BRICS Energy Research Cooperation Platform and the Americas Regional Office of the New Development Bank in São Paulo.	আমাৰ জনগণৰ উন্নয়নত আমি কৌশলগত অংশীদাৰিত্ব বজাই ৰাখিবলৈ সহমত প্ৰকাশ কৰিছো৷ অর্থনীতি, শান্তি, নিৰাপত্তা, প্ৰতিখন ৰাষ্ট্ৰৰ মানুহৰ মাজত ভাৱ বিনিময়কে ধৰি বিভিন্ন ক্ষেত্রৰ মান উন্নয়নত দক্ষিণ আফ্রিকাৰ নেতৃত্বত ব্ৰিকছে যি সফলতা অর্জন কৰিছে, তাক লৈ আমি সন্তোষ প্ৰকাশ কৰিছো৷ আমি নতুন শিল্প বিপ্লৱ, ব্ৰিকছ টিকা গবেষণা উন্নয়ন কেন্দ্ৰ, ব্ৰিকছ শক্তি গৱেষণা সহযোগিতা ক্ষেত্ৰ আৰু ছাও পাওলোত আমেৰিকাৰ উন্নয়ন বেংক স্থাপন ইত্যাদি বিভিন্ন ক্ষেত্রত ব্ৰিকছৰ কার্যকৰী ভূমিকাৰো প্ৰশংসা কৰিছো।
We reaffirm our commitment to fully implement the outcomes of the Johannesburg Summit and previous Summits.	জোহান্সবার্গ সন্মিলন আৰু ইয়াৰ পূৰ্বে অনুষ্ঠিত অন্যান্য সন্মিলনসমূহত যিবোৰ বিষয়ে গুৰুত্ব লাভ কৰিছে, সেইবোৰৰ সঠিক ৰূপায়ণৰ ক্ষেত্ৰত আমি প্ৰতিশ্ৰুতিবদ্ধ৷
The Union Cabinet chaired by Prime Minister Narendra Modi has approved the Memorandum of Understanding (MoU) between India and the United Arab Emirates on Development Cooperation in Africa.	প্ৰধানমন্ত্ৰী শ্ৰী নৰেন্দ্ৰ মোদীৰ অধ্যক্ষতাত অনুষ্ঠিত কেবিনেট বৈঠকত আফ্ৰিকাৰ উন্নয়নমূলক সহযোগিতাৰ সন্দৰ্ভত ভাৰত আৰু ইউনাইটে আৰৱ এমিৰেটছৰ মাজত প্ৰস্তাৱিত বুজাবুজি চুক্তিত অনুমোদন জনোৱা হৈছে৷ এই বুজাবুজি চুক্তিয়ে আফ্ৰিকাত উন্নয়নমূলক প্ৰকল্প তথা আঁচনি ৰূপায়ণৰ ক্ষেত্ৰত দুয়ো দেশৰ মাজত সহযোগিতামূলক কাঠামো গঠনত সহায় কৰিব৷ লাভালাভঃ
Prime Minister welcomed Secretary Tillerson on his maiden visit to India in his current capacity.	প্ৰধানমন্ত্ৰীয়ে প্ৰথম ভাৰত ভ্ৰমণলৈ অহা মাৰ্কিন সচিব টিলাৰচনক আদৰণী জনায়।
Prime Minister noted with appreciation the firm upward trajectory in the bilateral strategic partnership following the positive and far-reaching talks with President Trump in June this year.	প্ৰধানমন্ত্ৰীয়ে চলিতা বৰ্ষৰ জুন মাহত ৰাষ্ট্ৰপতি ট্ৰাম্পৰ সৈতে ইতিবাচক আৰু দূৰদৃষ্টিসম্পন্ন বাৰ্তাৰ পাছত দ্বিপাক্ষিক সামৰিক সহযোগিতাৰ ক্ষেত্ৰত গ্ৰহণ কৰা ভূমিকাৰ প্ৰশংসা কৰে।
Prime Minister shared the resolve expressed by Secretary Tillerson on taking further steps in the direction of accelerating and strengthening the content, pace and scope of the bilateral engagement.	প্ৰধানমন্ত্ৰীয়ে সচিব টিলাৰছনৰ জৰিয়তে দ্বিপাক্ষিক সহযোগিতাৰ লগতে ইয়াক অধিক ক্ষীপ্ৰতৰ কৰিবলৈ এক শক্তিশালী পদক্ষেপ গ্ৰহণৰ সংকল্পৰ কথা দোঁহাৰে।
They affirmed that a strengthened India-US partnership is not just of mutual benefit to both countries, but has significant positive impact on the prospects for regional and global stability and prosperity.	তেওঁ দৃঢ়তাৰে বিশ্বাস কৰে যে ভাৰত-মার্কিন যুক্তৰাষ্ট্ৰৰ মাজত শক্তিশালী অংশীদাৰিত্বৰ জৰিয়তে কেৱল উভয় দেশৰে পাৰস্পৰিক লাভ নহয়, ইয়াৰ দ্বাৰা আঞ্চলিক আৰু বৈশ্বিক স্থিতিশীলতা আৰু সমৃদ্ধিৰ সম্ভাৱনাৰ ওপৰত ইতিবাচক প্রভাৱ পৰিব।
In the context of President Trump’s new South Asia Policy, Prime Minister noted the commonality in the objectives of eradicating terrorism, terrorist infrastructure, safe havens, and support, while bringing peace and stability to Afghanistan.	ৰাষ্ট্ৰপতি ট্ৰাম্পৰ নতুন এছিয়া নীতিৰ প্ৰসংগত প্ৰধানমন্ত্ৰীয়ে কয় যে ভাৰতেও সন্ত্ৰাসবাদ, সন্ত্ৰাসৰ আন্তঃগাঁথনি নিৰ্মূল, সুৰক্ষিত পৃথিৱী আৰু সমৰ্থনৰ লগতে আফগানিস্তানৰ শান্তি আৰু সুস্থিৰতা কামনা কৰে।
In this regard, Secretary Tillerson exchanged views on his recent travels in the region with Prime Minister.	এই প্ৰসংগত সচিব টিলাৰছনে শেহতীয়াভাৱে সেই অঞ্চলটো ভ্ৰমণ কৰাৰ কথা প্ৰধানমন্ত্ৰীৰ সৈতে আলোচনা কৰে।
They further discussed stepping up effective cooperation to combat terrorism in all its forms and promoting regional stability and security.	তেওঁলোকে লগতে অঞ্চলটোৰ সুস্থিৰতা আৰু নিৰাপত্তাৰ প্ৰতি লক্ষ্য ৰাখি সন্ত্ৰাসবাদৰ বিৰুদ্ধে যুঁজ কৰিবলৈ এক ফলপ্ৰসূ সহযোগিতা আগবঢ়োৱাৰ সন্দৰ্ভত আলোচনা কৰে।
The Prime Minister, Shri Narendra Modi, will visit Gorakhpur in Uttar Pradesh tomorrow on 24 February 2019.	নিৰ্বাচিত ক্ষুদ্ৰ আৰু মজলীয়া কৃষকৰ একাউণ্টলৈ ২,০০০ টকাৰ প্ৰথমটো কিস্তি পোনপটীয়াকৈ হস্তান্তৰ কৰা হ’ব
This will mark the official launch of the PM KISAN scheme.	প্ৰায় ১২ কোটি ক্ষুদ্ৰ আৰু মজলীয়া কৃষক উপকৃত হ’ব
PM will also distribute certificates to select farmers under PM-KISAN scheme.	প্ৰধানমন্ত্ৰীয়ে গোৰখপুৰত বিভিন্ন উন্নয়নমূলক প্ৰকল্প মুকলি কৰিব
PM will also interact with select beneficiaries of PM-KISAN through video conference.	প্ৰধানমন্ত্ৰী শ্ৰী নৰেন্দ্ৰ মোদীয়ে ২৪ ফেব্ৰুৱাৰীত উত্তৰ-প্ৰদেশৰ গোৰখপুৰ ভ্ৰমণ কৰিব৷
The Pradhan Mantri Kisan Samman Nidhi Yojana (PM-KISAN) was announced in the interim Budget 2019-20 on February 1, 2019.	প্ৰধানমন্ত্ৰীয়ে লগতে কিষাণ আঁচনিৰ অধীনত নিৰ্বাচিত কৃষকসকলৰ মাজত প্ৰমাণপত্ৰও বিতৰণ কৰিব৷
Under the Scheme, Rs 6,000 will be given per year to small and marginal farmer families having combined land holding/ownership of upto 2 hectares.	ইয়াৰ পাছত প্ৰধানমন্ত্ৰীয়ে ভিডিঅ’ কনফাৰেন্সৰ মাধ্যমেৰে কিষাণ সন্মান নিধি যোজনা(প্ৰধানমন্ত্ৰী-কিষাণ)ৰ উপভোক্তাৰ সৈতে মতবিনিময় কৰিব৷
The amount will be given in three installments of Rs.2000 each.	প্ৰধানমন্ত্ৰী কিষাণ সন্মান নিধি যোজনা
The amount will be transferred directly to the bank account of beneficiaries through Direct Benefit Transfer.	প্ৰধানমন্ত্ৰী কিষাণ সন্মান নিধি যোজনা যোৱা ১ ফেব্ৰুৱাৰীত দাখিল কৰা ২০১৯-২০ৰ অন্তৰ্ৱতীকালীন বাজেটত ঘোষণা কৰা হৈছিল৷
The Scheme was introduced to augment the income of the Small and Marginal Farmers (SMFs).	এই আঁচনিৰ অধীনত ২ হেক্টৰ পৰ্যন্ত ভূমি থকা ক্ষুদ্ৰ আৰু মজলীয়া কৃষকে বছৰি ৬,০০০ টকাকৈ লাভ কৰিব৷
It is estimated to benefit more than 12 crore small and marginal farmers.	এই ধনৰাশি ২০০০ টকাকৈ তিনিটা কিস্তিত আদায় দিয়া হ’ব৷
The PM-KISAN scheme aims to supplement the financial needs of the SMFs in procuring various inputs to ensure proper crop health and appropriate yields, commensurate with the anticipated farm income at the end of the each crop cycle.	আঁচনিৰ ধনৰাশি উপভোক্তাই পোনপটীয়াকৈ নিজৰ বেংক একাউণ্টত লাভ কৰিব৷ প্ৰত্যক্ষ লাভ হস্তান্তৰে সমগ্ৰ প্ৰক্ৰিয়াটোক স্বচ্ছ কৰাৰ লগতে কৃষকৰ সময় ৰাহি কৰিব৷
This would also protect them from falling in the clutches of moneylenders for meeting such expenses and ensure their continuance in the farming activities.	ক্ষুদ্ৰ আৰু মজলীয়া কৃষকৰ উপাৰ্জন বৃদ্ধি কৰাৰ লক্ষ্যৰে এই আঁচনি আৰম্ভ কৰা হৈছে৷ ইয়ে ১২কোটিতকৈ অধিক কৃষকক উপকৃত কৰাৰ লক্ষ্য লৈছে৷
State Government and UT Administration will identify the farmer families which are eligible for support as per scheme guidelines.	ৰাজ্য চৰকাৰ আৰু কেন্দ্ৰীয় শাসিত অঞ্চল প্ৰশাসনে আঁচনিৰ নীতি-নিয়মৰ ভিত্তিত যোগ্য কৃষকক চিনাক্ত কৰিব৷
As against the onetime loan waivers, PM KISAN is truly an empowering project designed for ensuring dignified life for small scale farmers.	প্ৰধানমন্ত্ৰীয়ে গোৰখপুৰত আন কেইবাটাও উন্নয়নমূলক প্ৰকল্পৰ আধাৰশিলা স্থাপন আৰু উদ্বোধন কৰিব৷ তেওঁ সমবেত ৰাইজক সম্বোধি ভাষণো আগবঢ়াব৷
The Prime Minister, Shri Narendra Modi has condoled the demise of Former Delhi Chief Minister Shri Madan Lal Khurana.	দিল্লীৰ প্ৰাক্তন মুখ্যমন্ত্ৰী শ্ৰী মদন লাল খুৰানাৰ মৃত্যুত প্ৰধানমন্ত্ৰী শ্ৰী নৰেন্দ্ৰ মোদীয়ে শোক প্ৰকাশ কৰিছে৷
The Prime Minister, Shri Narendra Modi has greeted the people of Meghalaya on their Statehood Day.	প্ৰধানমন্ত্ৰী শ্ৰী নৰেন্দ্ৰ মোদী মেঘালয়ৰ জনতাক তেওঁলোকৰ ৰাজ্য স্থাপন দিৱস উপলক্ষে শুভেচ্ছা জ্ঞাপন কৰে৷
“On the special occasion of their Statehood Day, greetings to the people of Meghalaya.	‘‘মেঘালয়ৰ জনতাক ৰাজ্য স্থাপন দিৱস উপলক্ষে শুভেচ্ছা জনাইছো৷
The Union Cabinet chaired by Prime Minister Shri Narendra Modi has given its ex-post facto approval to the Second Protocol amending the Comprehensive Economic Cooperation Agreement (CECA) between India and Singapore.	প্ৰধানমন্ত্ৰী শ্ৰী নৰেন্দ্ৰ মোদীৰ অধ্যক্ষতাত অনুষ্ঠিত কেবিনেট বৈঠকত ভাৰত আৰু ছিংগাপুৰৰ মাজত ব্যাপক অৰ্থনৈতিক সহযোগিতা চুক্তি(চিইচিএ)ৰ দ্বিতীয় প্ৰ’ট’কল সংশোধনীৰ পূৰ্বপ্ৰস্তাৱিত সিদ্ধান্তত অনুমোদন জনাইছে।
The CECA was signed on 24th August 2018.	২০১৮ৰ ২৪ আগষ্টত এই চিইচিএ স্বাক্ষৰ কৰা হৈছিল।
Benefits: Signing of the Second Protocol will enhance bilateral trade and will deepen the Economic Cooperation between India and Singapore.	দ্বিতীয় প্ৰ’ট’কল স্বাক্ষৰিত কৰাৰ ফলত দ্বিপাক্ষিক ব্যৱসায় বৃদ্ধি পোৱাৰ লগতে ভাৰত আৰু ছিংগাপুৰৰ অৰ্থনৈতিক সহযোগিতা সুদৃঢ় হ’ব।
The Union Cabinet chaired by Prime Minister Shri Narendra Modi has given its approval for signing of a Memorandum of Understanding (MoU) between National Institute for Transforming India (NITI) Aayog, and Ministry of Economic Development of the Russian Federation (MEDRF) in the field of social, economic, industrial and regional development programs.	প্ৰধানমন্ত্ৰী শ্ৰী নৰেন্দ্ৰ মোদীৰ পৌৰহিত্যত কেন্দ্ৰীয় কেবিনেটে নিটি আয়োগ আৰু ইক’ন’মিক ডেভেলপমেণ্ট অৱ দা ৰাছিয়ান ফেডাৰেচন মন্ত্ৰালয়ৰ (এমইডিআৰএফ) মাজত সামাজিক, অৰ্থনৈতিক, ঔদ্যোগিক আৰু আঞ্চলিক উন্নয়ন কাৰ্যসূচীৰ ক্ষেত্ৰত হোৱা বুজাবুজিৰ চুক্তিপত্ৰত অনুমোদন প্ৰদান কৰিছে৷
The MoU covers the following areas of cooperation:	এই বুজাবুজিৰ চুক্তিপত্ৰই নিম্নোক্ত সহযোগিতাৰ দিশসমূহ সামৰি লৈছেঃ
The Prime Minister, Shri Narendra Modi will inaugurate the new building for National Museum of Indian Cinema tomorrow on January 19, 2018.	প্ৰধানমন্ত্ৰী শ্ৰী নৰেন্দ্ৰ মোদীয়ে ১৯ জানুৱাৰী, ২০১৯ তাৰিখে ৰাষ্ট্ৰীয় ভাৰতীয় চলচ্চিত্ৰ সংগ্ৰহালয়ৰ নৱনিৰ্মিত গৃহটি আনুষ্ঠানিকভাৱে উদ্বোধন কৰিব।
He will visit the National Museum, and address the gathering.	ৰাষ্ট্ৰীয় সংগ্ৰহালয়টোত উপস্থিত হৈ প্ৰধানমন্ত্ৰীয়ে তাত উপস্থিত জনতাক সম্বোধন কৰিব।
The New Museum Building consists of four levels: Level 1 – Gandhi & Cinema, Level 2 – Children’s Film Studio, Level 3 – Technology, Creativity and Indian Cinema and Level 4 – Cinema across India.	এই নতুন সংগ্ৰহালয় গৃহটোত আছে চাৰিটা স্তৰ ক্ৰমে – ১ম স্তৰ – গান্ধী আৰু চিনেমা, ২য় স্তৰ – চিলড্ৰেনছ ফিল্ম ষ্টুডিঅ’, ৩য় স্তৰ – প্ৰযুক্তি, সৃষ্টিশীলতা আৰু ভাৰতীয় ছবি, আৰু ৪ৰ্থ স্তৰ – ভাৰতৰ ছবিবোৰ।
The Union Cabinet, chaired by the Prime Minister Narendra Modi has approved the signing of the Memorandum of Understanding (MoU) between the Ministry of Road Transport and Highways, India and the Federal Ministry of Transport, Innovation and Technology, Austria on Technology Cooperation in the Road Infrastructure Sector.	প্ৰধানমন্ত্ৰী নৰেন্দ্ৰ মোদী অধ্যক্ষতাত অনুষ্ঠিত কেন্দ্ৰীয় কেবিনেট বৈঠকত ভাৰতৰ পথ পৰিবহণ আৰু ঘাইপথ মন্ত্ৰালয় আৰু অষ্ট্ৰীয়াৰ পৰিবহণ, উদ্ভাৱন আৰু প্ৰযুক্তি মন্ত্ৰালয়ৰ মাজত পথৰ আন্তঃগাঁথনিমূলক খণ্ডত প্ৰযুক্তিগত সহযোগিতা সম্পৰ্কীয় এক বুজাবুজি চুক্তিৰ প্ৰস্তাৱত অনুমোদন জনাইছে৷
The MoU aims to create an effective framework for bilateral cooperation in the field of Road Transportation, Roads/Highways infrastructure development, management and administration, Road safety and Intelligent Transport Systems between both countries.	এই বুজাবুজি চুক্তিৰ লক্ষ্য হৈছে দুয়োখন দেশৰ মাজত পথ পৰিবহণ, পথ/ঘাইপথৰ আন্তঃগাঁথনি উন্নয়ন, পৰিচালনা আৰু প্ৰশাসন, পথ সুৰক্ষা আৰু বৌদ্ধিক পৰিবহণ পদ্ধতিৰ ক্ষেত্ৰত দ্বিপাক্ষিক সহযোগিতাৰ ফলপ্ৰসূ পৰিকাঠামো গঢ়ি তোলা৷
The MoU will further strengthen ties, promote long standing bilateral relations and enhance trade and regional integration between Republic of India and the Republic of Austria.	তদুপৰি, এই চুক্তিয়ে ভাৰত আৰু অষ্ট্ৰীয়া গণৰাজ্যৰ মাজৰ সম্পৰ্ক কটকটীয়া কৰাৰ লগতে দীৰ্ঘদিনীয়া দ্বিপাক্ষিক সম্পৰ্ক আগুৱাই নিব, বাণিজ্য আৰু আঞ্চলিক সংহতি বৃদ্ধি কৰিব৷
The Indo-Austrian bilateral cooperation in the road transport sector would be beneficial both from the perspective of enhanced road safety as well as attractive financing possibilities for the sector, thus fostering and intensifying the already good relations between the two countries, through the proposed MoU in the Transport sector.	প্ৰস্তাৱিত চুক্তিৰ ফলত পথ পৰিবহণ খণ্ডত ভাৰত–অষ্ট্ৰীয়াৰ মাজত সম্পৰ্কৰ জৰিয়তে দুয়োখন দেশে পথ সুৰক্ষা বৃদ্ধিৰ সমান্তৰালভাৱে আকৰ্ষণীয় বিনিয়োগ লাভ কৰাত সফল হ’ব, যাৰদ্বাৰা দুয়োখন দেশৰ মাজত অটুট থকা সম্পৰ্ক আৰু অধিক সুদৃঢ় হ’ব৷
Prime Minister, Shri Narendra Modi’s shared a message on World Tuberculosis Day.	বিশ্ব যক্ষ্মা দিৱস উপলক্ষে প্ৰধানমন্ত্ৰী শ্ৰী নৰেন্দ্ৰ মোদীয়ে টুইটাৰত উল্লেখ কৰা বাৰ্তাৰ লিখিত ৰূপ তলত আগবঢ়োৱা হ’ল—
The Union Cabinet chaired by Prime Minister Shri Narendra Modi has approved a Memorandum of Understanding (MoU) with Canada for cooperation in the field of Science & Technology.	প্ৰধান মন্ত্ৰী শ্ৰী নৰেন্দ্ৰ মেদীৰ পৌৰোহিত্যত অনুষ্ঠিত কেন্দ্ৰীয় কেবিনেটৰ বৈঠকত ভাৰত আৰু কানাডাৰ মাজত বিজ্ঞান আৰু প্ৰযুক্তিৰ ক্ষেত্ৰত বুজাবুজিৰ চূক্তি স্বাক্ষৰৰ প্ৰস্তাৱত অনুমোদন জনোৱা হয়।
The MoU will provide a mechanism and help to foster scientific cooperation between R&D and academic institutions of India and Canada.	এই চূক্তিয়ে ভাৰত আৰু কানাডাৰ শিক্ষানুষ্ঠানৰ মাজত বৈজ্ঞানিক সহযোগিতা তথা গৱেষণা আৰু উন্নয়নমূলক কামত সহায় কৰিব।
• An innovative model of R&D cooperation between India and Canada will be implemented under a MoU concluded by the Department of Science and Technology with the Natural Sciences and Engineering Research Council (NSERC) of Canada.	ভাৰতৰ বিজ্ঞান আৰু প্ৰযুক্তি বিভাগ আৰু কানাডাৰ প্ৰাকৃতিক বিজ্ঞান আৰু অভিযান্ত্ৰিক গৱেষণা পৰিষদৰ মাজত এই চূক্তি স্বাক্ষৰিত হ’ব।
• Under this MoU, the India-Canada Centre for Innovative Multidisciplinary Partnership to Accelerate Community Transformation and Sustainability (IC-IMPACTS) programme will be supported to promote India-Canada multidisciplinary research partnerships.	এই চূক্তিৰ অধীনত ভাৰত আৰু কানাডাৰ মাজত উদ্ভাৱনী দিশত বহু বিভাগীয় অংশীদাৰিত্ব গঢ় লৈ উঠিব।
• The R&D projects will be aimed at accelerating social transformation by providing solutions through application of science and technology.	গৱেষণা আৰু উন্নয়নমূলক প্ৰকল্পসমূহৰদ্বাৰা বিজ্ঞান আৰু প্ৰযুক্তিৰ ব্যৱহাৰৰ জৰিয়তে সামাজিক পৰিৱৰ্তন সম্ভৱ হ’ব।
• The participants will include researchers from scientific organizations, academia and R&D laboratories from India and Canada.	অংশগ্ৰহণকাৰীসকলৰ ভিতৰত ভাৰত আৰু কানাডাৰ বৈজ্ঞানিক প্ৰতিষ্ঠান, গৱেষণা আৰু উন্নয়নমূলক প্ৰতিষ্ঠান তথা শিক্ষানুষ্ঠানসমূহৰ গৱেষণাকাৰী সকল থাকিব।
• Identified areas of mutual cooperation include safe and sustainable infrastructure and integrated water management.	সুৰক্ষিত আৰু বহনক্ষম আন্তঃগাঁথনি তথা সংহত জলসম্পদ পৰিচালনাত মনোযোগ দিয়া হ’ব।
• This will help to develop institutional networking and support the establishment of connections between scientific organizations, scientists and specialists of India and Canada.	এই চূক্তিয়ে ভাৰত আৰু কানাডাৰ আনুষ্ঠানিক যোগাযোগ ৰক্ষাত সহায় কৰাৰ লগতে বৈজ্ঞানিক প্ৰতিষ্ঠান, বৈজ্ঞানিক তথা বিশেষজ্ঞসকলৰ মাজত সহযোগিতা গঢ়ি তোলাত সহায় কৰিব।
The Prime Minister, Shri Narendra Modi, visited Odisha on 24th December, 2018.	প্ৰধানমন্ত্রী শ্রী নৰেন্দ্ৰ মোদীয়ে ২৪ ডিচেম্বৰ, ২০১৮ত ওড়িশা ভ্ৰমণ কৰে৷
Shri Narendra Modi dedicated the IIT Bhubaneswar campus, to the nation.	ইয়াৰ পাছতে প্ৰধানমন্ত্ৰী মোদীয়ে আইআইটি ভূৱনেশ্বৰ দেশবাসীৰ উদ্দেশ্যো উৎসর্গা কৰে।
Speaking on the occasion, the Prime Minister said that the total worth of projects which were either inaugurated, or for which the Foundation Stone was laid today, is over Rs. 14,000 crore.	অনুষ্ঠানত ভাষণ প্ৰসংগত প্ৰধানমন্ত্রীয়ে কয় যে আজি প্রায় ১৪,০০০ হাজাৰ কোটি টকাৰ বিভিন্ন প্ৰকল্প উদ্বোধনৰ লগতে একাধিক প্ৰকল্পৰ আধাৰশিলাও স্থাপন কৰা হৈছে।
He said the Union Government aims to develop eastern India as the gateway to South-East Asia.	পূব ভাৰতৰ উন্নয়নত কেন্দ্রীয় চৰকাৰে বিশেষ লক্ষ্য লোৱা বুলিও তেওঁ সদৰি কৰে৷
The Prime Minister said that IIT Bhubaneswar would spur the industrial development of Odisha, and work towards technology to improve the lives of the people.	প্ৰধানমন্ত্রীয়ে কয় যে আইআইটি ভূৱনেশ্বৰে ওড়িশাৰ ঔদ্যোগিকৰণত আৰু জনসাধাৰণৰ জীৱনযাত্রাৰ মান উন্নয়নতো বিশেষ ভূমিকা পালন কৰিব৷
The Prime Minister mentioned the plans to expand the healthcare infrastructure, road network, and oil and gas pipeline infrastructure in the State.	প্ৰধানমন্ত্রীয়ে কয় যে ওড়িশাৰ আন্তঃগাঁথনি, তেল আৰু প্ৰাকৃতিক গেছৰ পাইপ লাইন, পথ যোগাযোগ, আন্তঃগাঁথনি আৰু স্বাস্থ্য সেৱা সম্প্ৰসাৰণৰো পৰিকল্পনা কৰিছে।
The Prime Minister, Shri Narendra Modi, today unveiled a bust of Mahatma Gandhi at Yonsei University in Seoul.	প্ৰধানমন্ত্ৰী শ্ৰী নৰেন্দ্ৰ মোদীয়ে আজি ছিউলৰ য়োনছেই বিশ্ববিদ্যালয়ত মহাত্মা গান্ধীৰ আৱক্ষ মূৰ্তি উন্মোচন কৰে৷
The President of the Republic of Korea, Mr. Moon Jae-in, First Lady of the Republic of Korea, Kim Jung-sook, and former Secretary General of the United Nations, Mr. Ban Ki-moon, were present on the occasion.	কোৰিয়াৰ ৰাষ্ট্ৰপতি শ্ৰীমান মুন জাই-ইন, কোৰিয়াৰ ফাৰ্ষ্ট লেডী কিম জাং-ছোক আৰু ৰাষ্ট্ৰসংঘৰ প্ৰাক্তন সচিব প্ৰধান বেন কি-মুন অনুষ্ঠানত উপস্থিত আছিল৷
Speaking on the occasion, the Prime Minister described it as an honour to unveil the bust of Bapu at Yonsei University.	অনুষ্ঠানত প্ৰধানমন্ত্ৰীয়ে কয় যে ছিউলত বাপুজীৰ আৱক্ষ মূৰ্তি উন্মোচন কৰাটো তেওঁৰ বাবে এক সন্মানৰ বিষয়৷
This becomes even more special because we are doing so at a time when we mark the 150th birth anniversary of Bapu, the Prime Minister said.	দেশে বাপুজীৰ ১৫০ সংখ্যক জন্মবাৰ্ষিকী উদযাপনৰ প্ৰস্তুতি চলাই থকাৰ সময়তে তেওঁৰ আৱক্ষ মূৰ্তি ছিউলত উন্মোচিত হোৱাটো অধিক গুৰুত্বপূৰ্ণ বিবেচিত হৈছে বুলি প্ৰধানমন্ত্ৰীয়ে উল্লেখ কৰে৷
The thoughts and ideals of Bapu have the power to help us overcome the menace of terrorism and climate change, two challenges humanity faces in these times, said the Prime Minister.	তেওঁ কয় যে বাপুজীৰ চিন্তা আৰু ধাৰণাৰ মাজত সন্ত্ৰাসবাদ আৰু জলবায়ু পৰিৱৰ্তনৰ সমস্যা প্ৰতিৰোধ কৰিব পৰা শক্তি আছিল৷
Through his lifestyle, Bapu showed what living in harmony with nature is, and how one can minimize one’s carbon footprint.	প্ৰকৃতিৰ সৈতে মানুহে কিদৰে শান্তিৰে বাস কৰিব পাৰে আৰু ভৱিষ্যত প্ৰজন্মৰ বাবে এখন স্বচ্ছ আৰু সেউজ পৃথিৱী এৰি থৈ যোৱাটো কিমান প্ৰয়োজন,সেয়া নিজৰ জীৱনশৈলীৰ মাজেৰে বাপুজীয়ে প্ৰদৰ্শন কৰিছিল বুলি প্ৰধানমন্ত্ৰীয়ে কয়৷
He also showed that it is important to leave a clean and green planet for the future generations, the Prime Minister added.	উল্লেখ্য যে, য়োনছেই বিশ্ববিদ্যালয় হ’ল দক্ষিণ কোৰিয়াৰ এখন অন্যতম মৰ্যদাপূৰ্ণ বিশ্ববিদ্যালয়৷
Yonsei University is among the most prestigious universities in South Korea.	দক্ষিণ কোৰিয়াত মহাত্মা গান্ধীক বিশ্ব শান্তিৰ এগৰাকী দূত হিচাপে গণ্য কৰা হয়৷
