Prime Minister Narendra Modi met Her Majesty Queen Maxima of the Kingdom of the Netherlands today.	নতুন দিল্লিতে সোমবার প্রধানমন্ত্রী শ্রী নরেন্দ্র মোদীর সঙ্গে নেদারন্যান্ডসের মহারানী ম্যাক্সিমা সাক্ষাৎ করেন।
Sardar Vallabh Bhai Patel was greatly impressed by Lok Manya Tilakji.	এই সময় সর্দার বল্লভভাই প্যাটেলের সঙ্গে লোকমান্য তিলকজীর দীর্ঘক্ষণ কথা বলার সুযোগ হয়েছিল এবং সর্দার বল্লভভাই প্যাটেল লোকমান্য তিলকজীর দ্বারা অত্যন্ত প্রভাবিত হয়েছিলেন।
When on August 1 1920, Lok Manya Tilakji passed away, Patel ji had decided then itself that he would build his statue in Ahmedabad.	১-লা আগষ্ট, ১৯২০ লোকমান্য তিলকজীর মৃত্যু হওয়ার সঙ্গে সঙ্গেই সর্দার বল্লভভাই প্যাটেল সিদ্ধান্ত নিয়েছিলেন আমেদাবাদে তাঁর স্মারক মূর্তি প্রতিষ্ঠা করতেই হবে।
Sardar Vallabh Bhai Patel was elected the Mayor of Ahmedabad municipal corporation and he immediately selected Victoria Garden as a venue for Lok Manya Tilak’s memorial and this was the very Victoria Garden which was named after the British Queen.	এরপর নগর কর্পোরেশনের মেয়র হয়েই বল্লভভাই প্যাটেল ব্রিটেনের মহারানীর নামাঙ্কিত ‘ভিক্টোরিয়া গার্ডেন’-এ মহামান্য তিলকের স্মারক প্রতিষ্ঠার সিদ্ধান্ত নেন।
The British were naturally not happy with this and the collector continually kept denying permission.	স্বাভাবিক ভাবেই ব্রিটিশ শাসক এই বিষয়ে অত্যন্ত অসন্তুষ্ট হয় এবং সেখানকার কালেক্টর বার বার ‘স্মারু হেলা’ নামক স্মারক নির্মাণের প্রস্তাব নাকচ করে দিতে থাকেন।
And this all happened during the period of British rule.	ইংরেজের কাছে এই লেখা ঈশ্বরের নির্দেশের মত শুনতে লেগেছিল।
Tradition of publicly celebrating Ganesh Utsav was also initiated with the efforts of Lok Manya Tilakji.	লোকমান্য তিলকের উদ্যোগেই প্রথম সার্বজনীন গণেশ উৎসব উদ্‌যাপন শুরু হয়েছিল।
The celebration of Ganesh Utsav publicly had become an effective medium in promoting a spirit of social awakening, integration, amity and equality among the masses besides projecting a sense of dedication and festivity in them.	সার্বজনীন গণেশ উৎসব পরম্পরাগতভাবে শ্রদ্ধা ও আয়োজনে সমৃদ্ধ হয়ে উঠলেও একই সঙ্গে সমাজ জাগরণ, একতা, সমদর্শিতা এবং সাম্যের মানসিকতা গড়ে তোলার ক্ষেত্রে একটা প্রভাবশালী মাধ্যম হয়ে উঠেছিল।
Such events gained more popularity with the passage of time.	সময়ের সঙ্গে সঙ্গে এই উৎসবের জনপ্রিয়তা বাড়তে লাগল।
Thus, it becomes clear that our younger generations still care for the brave heroes of our ancient past, its heritage and history.	এর থেকেই প্রমাণ হয় আমাদের প্রাচীন ঐতিহ্য এবং বীর নায়কদের প্রতি যুব সমাজের আজও craze আছে।
I will surely send your ideas and efforts to the people.	আমি অবশ্যই জনগণকে আপনাদের কথা জানাবো।
Azad’s courage and passion for freedom inspired the youth of the day.	চন্দ্রশেখর আজাদের সাহসিকতা এবং স্বাধীনতার জন্য আকুলতা অনেক যুবককেই প্রেরণা জুগিয়েছিল।
Chandrashekhar Azad put his life on the stake, but he never bowed in front of the foreign rule.	আজাদ নিজের জীবন বাজী রেখেছিলেন কিন্তু বিদেশী শাসনের সামনে কখনও মাথা নোয়াননি।
It was my privilege and good fortune that I had the opportunity of going to Chandrasekhar Azad’s native village of Alirajpur in Madhya Pradesh.	এটা আমার সৌভাগ্য যে মধ্যপ্রদেশে চন্দ্রশেখর আজাদের গ্রাম অলীরাজপুর যাওয়ার সুযোগ হয়েছে।
Once again, I bow and pay tributes to the two great sons of Bharat Mata – Lokmanya Tilakji and Chandrasekhar Azad ji.	আরও একবার ভারতমাতার দুই মহান সন্তান লোকমান্য তিলকজী এবং চন্দ্রশেখর আজাদজীকে শ্রদ্ধাপূর্ণ নমস্কার জানাচ্ছি।
Just a few days ago, in the Junior Under-20 World Athletics Championship in Finland, India’s brave daughter and a farmer daughter Hima Das made history by winning the gold medal in the 400-meter race event.	কিছুদিন আগে ফিনল্যাণ্ডে অনুষ্ঠিত জুনিয়র অনূর্ধ্ব কুড়ি বিশ্ব অ্যাথলেটিক্‌স চ্যাম্পিয়নশিপে ৪০০ মিটারের দৌড়ে ভারতের বাহাদুর কন্যা, কিষাণকন্যা হিমা দাস স্বর্ণপদক জিতে ইতিহাস সৃষ্টি করেছে।
Ekta in her e-mail writes – ‘The most important moment in the life of any athlete is that when he or she holds the tricolor and I am proud that I could do that.’	ই-মেলে একতা লিখছে — যে কোনও অ্যাথলিটের জীবনে মাহেন্দ্রক্ষণ সেটাই যখন সে তেরঙ্গা জড়িয়ে ধরে আর আমার গর্ব যে আমি তা করে দেখিয়েছি।
Ekta, we all are proud of you.	একতা, আমাদের সবার আপনাকে নিয়ে গর্ব হয়।
You have brought glory to the Nation.	আপনি দেশের নাম উজ্জ্বল করেছেন।
Ekta has won the gold and bronze medals in World Para Athletics Grand Prix 2018 held in Tunisia.	টিউনিশিয়ায় বিশ্ব প্যারা-অ্যাথলেটিক্স গ্রাঁ প্রি, ২০১৮-তে একতা স্বর্ণপদক ও ব্রোঞ্জ পদক জিতেছে।
Her achievement is all the more special because she has made the imposing challenges in her life the key to her success.	ওর এই সাফল্য উল্লেখযোগ্য এই কারণে, যে ও নিজের চ্যালেঞ্জকে সাফল্যের মাধ্যম বানিয়ে নিয়েছে।
I salute Ekta Bhyanji, Yogesh Qathuniaji and Sundar Singh Ji, all of you for your fortitude and passion, and congratulate you!	আমি একতা ভয়ানজী, যোগেশ কটুনিয়াজী, সুন্দর সিংজীকে তাঁদের সাহস ও সংগ্রামী মনোভাবের জন্য সেলাম জানাচ্ছি, অভিনন্দন জানাচ্ছি।
I wish all of you best wishes for good health, for this month of August imbued with the spirit of patriotism and for many festivals that have continued over centuries.	আমি আপনাদের সকলের ভালো স্বাস্থ্যের জন্য, দেশভক্তির প্রেরণা জাগানো এই আগষ্ট মাসের জন্য এবং শতবর্ষ ধরে চলে আসা অনেক অনেক উৎসবের জন্য অনেক অনেক শুভেচ্ছা জানাচ্ছি।
Many Many Thanks.	অনেক অনেক ধন্যবাদ!
The Prime Minister, Shri Narendra Modi has condoled the demise of Captain Jai Narain Prasad Nishad.	প্রধানমন্ত্রী শ্রী নরেন্দ্র মোদী ক্যাপ্টেন জয় নারায়ণ প্রসাদ নিশাদের প্রয়াণে শোক জ্ঞাপন করেছেন।
“Saddened by the demise of Captain Jai Narain Prasad Nishad Ji.	এক বার্তায় তিনি বলেছেন, “ক্যাপ্টেন জয় নারায়ণ প্রসাদ নিশাদজির প্রয়াণে আমি মর্মাহত।
He served our nation with great diligence.	তিনি দেশের সেবায় নিয়োজিত ছিলেন।
Captain Nishad’s efforts for the progress of Bihar were noteworthy.	বিহারের উন্নয়নে ক্যাপ্টেন নিশাদের অবদান বিশেষভাবে উল্লেখযোগ্য।
His work towards empowering the poor will always be remembered.	দরিদ্রদের ক্ষমতায়নে তাঁর কাজ জনগণ সর্বদা মনে রাখবেন।
The Prime Minister, Shri Narendra Modi, will visit Vrindavan in Uttar Pradesh tomorrow on 11 February 2019.	প্রধানমন্ত্রী শ্রী নরেন্দ্র মোদী সোমবার ১১ই ফেব্রুয়ারি উত্তর প্রদেশের বৃন্দাবনে শিশুদের মধ্যে খাদ্য বিতরণ করবেন।
He will unveil the plaque to mark the serving of 3rd billionth meal by Akshaya Patra Foundation at Vrindavan Chandrodaya Mandir.	বৃন্দাবনের চন্দ্রোদয় মন্দিরে তিনি অক্ষয়পাত্র ফাউন্ডেশনের উদ্যোগে থার্ড বিলিয়ন্থ খাবার বিতরণের বিষয়টি উদযাপনের অঙ্গ হিসাবে একটি ফলকের আবরণ উন্মোচন করবেন।
The Prime Minister, Shri Narendra Modi has congratulated the winners of Smart City Challenge.	প্রধানমন্ত্রী শ্রী নরেন্দ্র মোদী স্মার্ট সিটি চ্যালেঞ্জের বিজয়ীদের অভিনন্দন জানিয়েছেন।
“Congrats to winners of Smart City Challenge.	এক ট্যুইটার বার্তায় প্রধানমন্ত্রী বলেছেন, “স্মার্ট সিটি চ্যালেঞ্জের বিজয়ীদের অভিনন্দন।
I wish the cities the very best as they move forward with implementation and transform urban India.	আমি এদের প্রত্যেককেই শুভেচ্ছা জানাই যাতে তারা এই প্রকল্প রূপায়ণে অগ্রণী ভূমিকা নিয়ে শহর ভারতের রূপান্তর ঘটাতে পারে।
Addressing the summit, Prime Minister said that India is on the move, in terms of its economy, infrastructure, youth and many other areas.	বৈঠকে প্রধানমন্ত্রী বলেন, ভারত এখন অর্থনীতি, পরিকাঠামো, যুব বিষয়ক ও অন্যান্য বহু ক্ষেত্রে এগিয়ে চলেছে।
Prime Minister also outlined the vision for the future of mobility in India based on 7 C’s.	প্রধানমন্ত্রী সাতটি ‘সি’-এর ওপর ভিত্তি করে ভারতে ভবিষ্যৎ অগ্রগতির পরিকল্পনার কথা উল্লেখ করেন।
The 7 C’s are Common, Connected, Convenient, Congestion-free, Charged, Clean and Cutting-edge.	এই সাতটি ‘সি’ হ’ল – common বা অভিন্ন, connected বা সংযুক্ত, convenient বা উপযোগী, congestion free বা যানজট মুক্ত, charged বা বিদ্যুৎ শক্তি সঞ্চারিত করা, clean বা পরিচ্ছন্ন এবং cutting edge বা সর্বাধুনিক।
Following is the full text of PM’s address:	প্রধানমন্ত্রীর ভাষণের অংশ নিম্নরূপ –
Distinguished Delegates from across the World,	সারা বিশ্বের বিশিষ্ট প্রতিনিধিবৃন্দ,
I welcome you all to the Global Mobility Summit.	গ্লোবাল মোবিলিটি শীর্ষ বৈঠকে আমি আপনাদের সকলকে স্বাগত জানাই।
Move – The name of this Summit captures the spirit of India today.	মুভ – শীর্ষ বৈঠকের এই নামটি প্রকৃত অর্থেই বর্তমান ভারতের প্রাণচঞ্চলতাকে প্রতিফলিত করে।
Indeed, India is on the Move:	অবশ্যই ভারত এখন এগিয়ে চলেছে :
Our economy is on the Move.	আমাদের অর্থনীতি এগিয়ে চলেছে।
We are the world’s fastest growing major economy.	আমরা এখন বিশ্বের দ্রুততম বিকাশশীল প্রধান অর্থনীতি।
Our cities and towns are on the Move.	আমাদের শহর ও নগরগুলিও এগিয়ে চলেছে।
We are building one hundred smart cities.	আমরা ১০০টি স্মার্টসিটি নির্মাণ করছি।
Our infrastructure is on the Move.	আমাদের পরিকাঠামো এগিয়ে চলেছে।
We are building roads, airports, rail lines and ports at a quick pace.	আমরা অত্যন্ত দ্রুতগতিতে সড়ক, বিমানবন্দ্র, রেল লাইন ও বন্দর নির্মাণ করছি।
Our goods are on the Move.	আমাদের পণ্য সরবরাহ ক্ষেত্রও এগিয়ে চলেছে।
The Goods and Services Tax has helped us rationalize supply chains and warehouse networks.	অভিন্ন পণ্য ও পরিষেবা কর সরবরাহ ব্যবস্থাকে যুক্তিসঙ্গত এবং পণ্যাগার নেটওয়ার্ক গড়ে তুলতে সাহায্য করেছে।
Our reforms are on the Move.	আমাদের সংস্কার প্রক্রিয়া এগিয়ে চলেছে।
We have made India an easier place to do business.	আমরা ভারতকে সহজে ব্যবসা-বাণিজ্য করার অনুকূল গন্তব্য হিসাবে গড়ে তুলেছি।
Our lives are on the Move.	আমাদের জীবনযাত্রা এগিয়ে চলেছে।
Families are getting homes, toilets, smoke-free LPG cylinders, bank accounts and loans.	পরিবারগুলি এখন নিজস্ব বাড়ি, শৌচালায়, ধোঁয়ামুক্ত রান্নার গ্যাসের সিলিন্ডার, ব্যাঙ্ক অ্যাকাউন্ট ও ঋণের সুবিধা পাচ্ছে।
Our youth are on the Move.	আমাদের যুবসম্প্রদায়ও এগিয়ে চলেছে।
We are fast emerging as the start-up hub of the world.	বিশ্বের স্টার্টআপ হাব বা নতুন শিল্প স্থাপনের কেন্দ্র হিসাবে আমাদের দ্রুত উত্থান ঘটছে।
India is moving ahead with new energy, urgency and purpose	ভারত এখন নতুন শক্তি, চাহিদা ও উদ্দেশ্য নিয়ে এগিয়ে চলেছে।
We all know that, mobility has been key to the progress of humanity.	আমরা সকলেই জানি যে, মানবতার অগ্রগতিরমূলে রয়েছে গতিময়তা।
The world is now in the middle of a new mobility revolution.	সমগ্র বিশ্ব এখন গতিময়তার এক নতুন নবজাগরণের মধ্যভাগে রয়েছে।
It is, therefore, important to understand mobility as a wider construct.	তাই, গতিময়তার বিষয়টিকে আরও বড় আঙ্গিকে দেখা প্রয়োজন।
Mobility is a key driver of the economy.	গতিময়তা হ’ল অর্থনীতির মূল চালিকাশক্তি।
It is already a major employer and can create the next generation of jobs.	পরবর্তী প্রজন্মের জন্য কর্মসংস্থান সৃষ্টিতেও গতির সঙ্গে যুক্ত বিভিন্ন শিল্প সংস্থা বড় ভূমিকা নিতে পারে।
Mobility is central to urbanization.	নগরায়নের কেন্দ্রেও রয়েছে গতিময়তা।
Motorized personal vehicles require ever-growing road, parking, and traffic infrastructure.	মনুষ্যচালিত যানবাহনের জন্য ক্রমবর্ধমান সড়ক, পার্কিং ও ট্র্যাফিক পরিকাঠামোর প্রয়োজন।
Mobility is critical to preserving our planet.	আমাদের গ্রহের সংরক্ষণের জন্যও গতিময়তার প্রয়োজন।
Creating a mobility eco-system that is in sync with nature is the need of the hour.	বর্তমানে এমন এক অনুকূল গতিময় ব্যবস্থা গড়ে তোলা প্রয়োজন, যা প্রকৃতির সঙ্গে সামঞ্জস্য বজায় রেখে সময়ের চাহিদা পূরণ করবে।
Mobility is the next frontier in our fight against Climate Change.	জলবায়ুর পরিবর্তনের বিরুদ্ধে লড়াইয়ে গতিময়তাকে ব্যবহার করতে হবে।
We have doubled our pace of construction of highways.	আমরা মহাসড়ক নির্মাণের গতি দ্বিগুণ করেছি।
We have re-energized our rural road-building programme.	গ্রামীণ সড়ক নির্মাণ পরিকল্পনায় পুনরুজ্জীবন ঘটানো হয়েছে।
We are promoting fuel efficient and cleaner fuel vehicles.	আমরা জ্বালানি সাশ্রয় ও পরিশ্রুত জ্বালানির সাহায্যে যানবাহন চালানোর ওপর জোর দিচ্ছি।
We have developed low-cost air connectivity in under-served regions.	দেশের যেখানে বিমান পরিষেবা ছিল না, সেখানে আমরা কম খরচে যোগাযোগ ব্যবস্থার উন্নতিসাধন করেছি।
We are also starting operations on hundreds of new air routes.	নতুন ১০০টি আকাশপথে বিমান পরিষেবা চালু করছি।
We are pushing waterways in addition to traditional modes like rail and road.	রেল ও সড়কের মতো চিরাচরিত পদ্ধতির পাশাপাশি আমরা জলপথ ব্যবস্থার ওপর গুরুত্ব দিচ্ছি।
We are reducing travel distances in our cities by efficient location of homes, schools and offices.	উপযুক্ত জায়গায় আমরা বাড়ি, বিদ্যালয় ও কার্যালয় নির্মাণ করে শহরগুলিতে সফরের সময় সাশ্রয় করছি।
We have also started data-driven interventions such as intelligent traffic management systems.	যানজত এড়াতে আধুনিক যানবাহন পরিচালনা ব্যবস্থার মতো তথ্য নির্ভর পদক্ষেপ গ্রহণের প্রয়াস আমরা নিয়েছি।
In a rapidly transforming mobility paradigm, India has some inherent strengths and comparative advantages.	দ্রুত পরিবর্তনশীল ও গতির এই যুগে ভারতের নিজস্ব কিছু শক্তি ও তুলনামূলক সুবিধা রয়েছে।
Our starting point is fresh.	আমাদের নতুনভাবে যাত্রা সূচনা করতে হবে।
We have little of the legacy of resource-blind mobility.	সম্পদচালিত গতিময়তার সৌভাগ্য আমাদের খুব কম।
This gives us the window of opportunity to create an all-new, seamless mobility eco-system.	এটি আমাদের এক নতুন সমস্যামুক্ত অনুকূল গতিময়তার সুযোগ গড়ে তুলতে সুবিধা করে দিয়েছে।
Our unique identity program, Aadhaar, and its India-stack eco-system, has laid down a comprehensive public digital infrastructure.	আমাদের অভিনব পরিচিতি ব্যবস্থা ‘আধার’ – এক সুসংবদ্ধ সরকারি ডিজিটাল পরিকাঠামো গড়ে তুলেছে।
It has digitally empowered 850 million of our citizens.	অভিনব এই ব্যবস্থা ৮৫ কোটি মানুষকে ডিজিটাল দিক থেকে অধিকার প্রদান করেছে।
India can demonstrate how such digital infrastructure can be combined with new mobility business models.	ভারত দেখাতে পারে যে, কিভাবে এ ধরণের ডিজিটাল পরিকাঠামোকে গতিময়তার নতুন বাণিজ্যিক মডেলের সঙ্গে যুক্ত করা যায়।
Our renewable energy push will ensure that the environmental benefits of electric mobility can be fully realized.	আমাদের পুনর্নবীকরণযোগ্য শক্তির মাধ্যমে বৈদ্যুতিক গতিময়তার পরিবেশগত উপকারিতাগুলিকে কিভাবে বাস্তবায়িত করা যায়, তার ওপর জোর দেওয়া হচ্ছে।
We plan to draw 175 GigaWatts of energy from renewables by 2022.	পুনর্নবীকরণযোগ্য ক্ষেত্রে আমরা ২০২২ নাগাদ ১৭৫ গিগাওয়াট বিদ্যুৎ উৎপাদনের পরিকল্পনা নিয়েছি।
We are already the fifth largest producer of solar energy in the world.	আমরা এখন বিশ্বের পঞ্চম বৃহত্তম সৌরশক্তি উৎপাদক দেশ।
We are also the sixth largest producer of renewable energy.	পুনর্নবীকরণযোগ্য শক্তি উৎপাদনের দিক থেকে আমাদের স্থান এখন ষষ্ঠ।
We have also championed the cause of solar energy globally through the International Solar Alliance.	আন্তর্জাতিক সৌর জোটের মাধ্যমে সৌরশক্তি ক্ষেত্রে এখন অগ্রণী ভূমিকা নিয়েছি।
We have a fast growing manufacturing base, especially in the automotive sector.	আমাদের উৎপাদন ভিত্তি, বিশেষ করে মোটর গাড়ি ক্ষেত্রে দ্রুত অগ্রগতি হচ্ছে।
We also have a large, digitally literate, young population.	আমাদের এক বিপুল সংখ্যক ডিজিটাল-শিক্ষিত যুবসম্প্রদায় রয়েছে।
Big Data is enabling smarter decision-making by better understanding our patterns and needs.	common বা অভিন্ন – গণপরিবহণ ব্যবস্থা আমাদের গতিময়তার অত্যন্ত প্রয়োজনীয় অঙ্গ হয়ে উঠবে।
Our focus must also go beyond cars, to other vehicles such as scooters and rickshaws.	আমাদের বড় মোটর গাড়ির পাশাপাশি স্কুটার ও রিক্‌শার মতো যানবাহনেও গুরুত্ব দিতে হবে।
Large segments of the developing world depend on these vehicles for mobility.	উন্নয়নশীল বিশ্বের একটা বড় অংশই গতিময়তার জন্য এ ধরণের যানবাহনের ওপর নির্ভর করে।
This includes the elderly, the women and the specially abled.	এই ব্যবস্থার সকলেই নিতে পারেন।
We need to ensure that public transport is preferred to private modes of travel.	ব্যক্তিগত যানবাহনে সফরের পরিবর্তে গণপরিবহণ ব্যবস্থার সুবিধা সকলে যাতে নিতে পারেন, তা আমাদের সুনিশ্চিত করতে হবে।
4. Congestion free mobility is critical to check the economic and environment costs of congestion.	congestion freeবা যানজট মুক্তগতিময়তা অর্থনৈতিক ও পরিবেশগত ক্ষেত্রে ব্যয় হ্রাস করার জন্য অত্যন্ত গুরুত্বপূর্ণ।
Hence, there should be emphasis on ending bottlenecks of networks.	তাই, অর্থনৈতিক ও পরিবেশগত ক্ষেত্রে যে সকল সমস্যা রয়েছে, তা দূর করার ওপর জোর দিতে হবে।
Policies will be designed as a win-win for all, and enable huge opportunities in the automotive sector.	এই নীতির ফলে সকলেই সমান লাভবান হবেন এবং মোটর গাড়ি শিল্পে এক বিরাট সুযোগ-সুবিধার সৃষ্টি হবে।
Entrepreneurs should see mobility as a sector with immense opportunity for innovation and growth.	শিল্পোদ্যোগীরা গতিময়তাকে উদ্ভাবন ও বিকাশের এক বিপুল সুযোগ সৃষ্টির ক্ষেত্র হিসাবে বিবেচনা করবেন।
It is a sector where innovation can help solve problems for public good.	এটি এমন একটি ক্ষেত্র হয়ে উঠতে চলেছে, যেখানে উদ্ভাবন জনস্বার্থে বিভিন্ন সমস্যার সমাধানে সাহায্য করবে।
I am convinced that the ‘Mobility Revolution’ is an enabler of our growth and development.	আমি দৃঢ় বিশ্বাসী যে, গতিময়তার বিপ্লব আমাদের অগ্রগতি ও বিকাশের সহায়ক হয়ে উঠবে।
When India transforms mobility, it benefits one fifth of mankind.	ভারত যখন উন্নয়নের গতি ত্বরান্বিত করবে এক-পঞ্চমাংশ মানুষ এ থেকে উপকৃত হবেন।
It also becomes a scaled success story, for others to replicate.	এমনকি, ভারতের এই সাফল্য অন্যদের অনুসরণ করতে উৎসাহিত করবে।
This is the future.	এটিই আমাদের ভবিষ্যৎ।
May we all be Nourished	আমরা সকলেই পরিপুষ্ট হব
May we work together with great energy	আরও উৎসাহ নিয়ে আমরা একসঙ্গে কাজ করব
May our intellect be Sharpened	আমাদের বুদ্ধি আরও ক্ষুরধার হবে।
I look forward to see what we can do together.	আমরা একত্রে কি করতে পারি, তা উপলব্ধি করার ব্যাপারে আমি অত্যন্ত আশাবাদী।
This summit is just the beginning.	এই শীর্ষ বৈঠক সবেমাত্র শুরু হ’ল।
Let us Move ahead.	এটি আরও এগিয়ে চলুক।
Thank You Very Much!	অনেক অনেক ধন্যবাদ।
Addressing the gathering, the Prime Minister asserted that India is home to a unique heritage, where the overriding thought has always been the benefit of mankind.	জনসমাবেশে ভাষণ দিতে গিয়ে প্রধানমন্ত্রী বলেন, ভারত অনন্য ঐতিহ্যে সমৃদ্ধ এক দেশ, যেখানে ভিন্ন ধরণের মতাদর্শ ও চিন্তাভাবনা সর্বদাই মানবতাবাদের কল্যাণে এসেছে।
He said that the teachings of Lord Buddha have shaped many nations.	তিনি বলেন, ভগবান বুদ্ধের উপদেশ বেশ কিছু দেশ নির্মাণেও কাজে লেগেছে।
He said India has never been an aggressor.	ভারত কখনও আগ্রাসী দেশ হয়ে ওঠেনি বলেও তিনি মন্তব্য করেন।
The Prime Minister spoke about the eight-fold path given by Lord Buddha, and said that the problems that we are facing can be overcome by following this path.	ভগবান বুদ্ধের দেওয়া আটটি ধর্মসংঘ দর্শনের কথা উল্লেখ করে শ্রী মোদী বলেন, আজ আমরা যে সব সমস্যার সম্মুখীন, তা ঐ দর্শন অনুসণেরমাধ্যমে সমাধান সম্ভব।
The Prime Minister said that Buddha’s message of love and compassion can be of immense benefit to the world today.	প্রধানমন্ত্রী আরও বলেন, ভগবান বুদ্ধের ভালোবাসা ও করুণার বার্তা বর্তমান বিশ্বের পক্ষে বিশেষ উপযোগী।
Therefore, he emphasized that all those who believe in the Buddha, should unite their strengths towards this noble cause.	এ প্রসঙ্গে তিনি জোর দিয়ে বলেন, ভগবান বুদ্ধের প্রতি যাঁদের বিশ্বাস রয়েছে, বিশ্ব মানবতার স্বার্থে তাঁদের সকলেরই একজোট হওয়া দরকার।
Shri Narendra Modi said that the Government is working with compassion to serve people, in line with the path shown by Lord Buddha.	ভগবান বুদ্ধের দেখানো পথ অনুসরণ করে সহমর্মিতার সঙ্গে সরকার মানুষের সেবা করে চলেছে বলেও প্রধানমন্ত্রী অভিমত প্রকাশ করেন।
He also said the Union Government is working with an elaborate vision, to preserve the cultural heritage of India, which includes the heritage associated with Lord Buddha.	ভারতের সাংস্কৃতিক ঐতিহ্যগুলি সংরক্ষণে কেন্দ্রীয় সরকার এক ব্যাপক দৃষ্টিভঙ্গী নিয়ে কাজ করছে, যার মধ্যে ভগবান বুদ্ধের সঙ্গে জড়িত ঐতিহ্যগুলিও রয়েছে।
He said a sum of Rs. 360 crore has been approved for the Buddhist Circuit.	তিনি জানান, বুদ্ধ সার্কিটের সার্বিক উন্নয়নের জন্য ৩৬০ কোটি টাকা অনুমোদন করা হয়েছে।
The Prime Minister exhorted the gathering to make a contribution towards the New India of 2022, when the country will celebrate 75 years of freedom.	স্বাধীনতার ৭৫ বছর পূর্তি উপলক্ষে, ২০২২-এর মধ্যে এক নতুন ভারত গড়ে তোলার লক্ষ্যে জনসমাবেশে উপস্থিত সকলকে তিনি অবদান রাখার আহ্বান জানান।
Prime Minister Shri Narendra Modi attended Dussehra Celebrations at Madhav Das Park near Red Fort in Delhi, today.	নয়া দিল্লি: ৩০ সেপ্টেম্বর: প্রধানমন্ত্রী শ্রী নরেন্দ্র মোদি শনিবার দিল্লির লাল কেল্লার সংলগ্ন মাধব দাসপার্কে দশেরা উত্সবে যোগ দিলেন|
In his address, the Prime Minister encouraged everyone to undertake ‘Sankalp’ of positive contribution for the nation by 2022, when the nation celebrates its 75th year of Independence.	তাঁর ভাষণে প্রধানমন্ত্রী ২০২২ সালে দেশ যখনস্বাধীনতার ৭৫ বর্ষ উদযাপন করবে, তার মধ্যে দেশের জন্য কোনো ইতিবাচক অবদান রাখার‘সংকল্প’ গ্রহণ করতে অনুপ্রাণিত করেন|
“Indian Festivals are not mere events of festivities but they are also a medium to educate the society, festivals keep us aware about the values in the society, they also teach us to live together as one community”, the Prime Minister said.	প্রধানমন্ত্রী বলেন, “ভারতের পার্বণগুলো শুধুমাত্রকোনো উত্সব অনুষ্ঠান নয়, এগুলো সমাজকে শেখানোরও এক মাধ্যম| এই পার্বণগুলো আমাদেরকেসমাজের মূল্য সম্পর্কে সচেনত করে| আমাদেরকে এক সম্প্রদায় হিসেবে একসঙ্গে বসবাসকরার শিক্ষা প্রদান করে|”
Who are visionaries, what are they?	দূরদ্রষ্টা মহাপুরুষ কেন হন এবং কিভাবে তাঁর দূরদৃষ্টি প্রসারিত হয়?
That was to prepare such humans who could realize those dreams and capable, dedicated humans could be made only through education and culture.	এহেন সামর্থ্যবান, সমর্পিত মানুষের জীবনের শৃঙ্খলাবোধ, কেমন শিক্ষা এবং সংস্কারের মাধ্যমে বাস্তবায়িত করতে তিনি এই বিশ্ববিদ্যালয়ের স্বপ্ন দেখেছেন।
They wanted to prepare people in such a way that could help them run their business for a long time.	তাদের বাণিজ্য যাদের মাধ্যমে সুদূর প্রসারিত হবে তেমন শিক্ষার্থীই তারা গড়ে তুলতে চাইছিলেন।
But Mahamanaji wanted to prepare those great people who could retain the great traditions of India and work for the independence of India, for building the nation with their knowledge and capability.	কিন্তু মদনমোহনজী চাইছিলেন ছাত্রদের মনে ভারতের মহান পরম্পরা সঞ্জীবিত করে এমন রাষ্ট্র নির্মাণকারী গড়ে তুলতে যাঁরা সংস্কারের ধারাকে এগিয়ে নিয়ে যাবেন।
Both of them wanted to prepare the youth who could do something for the country.	দু’জনেই দেশের জন্য কিছু করতে নতুন প্রজন্মের মানুষ গড়ে তুলতে চাইছিলেন।
Tradition of Yoga has been there in India for centuries.	ভারতে অনেক শতাব্দীকাল ধরে যোগাভ্যাসের পরম্পরা রয়েছে।
The common person has also been attracted personally towards Yoga.	সাধারণ মানুষও ব্যক্তিগতভাবে যোগাভ্যাসে আকর্ষিত হয়েছেন।
In different corners of the world, yoga has been seen with different curiosity.	বিশ্বের বিভিন্ন প্রান্তে যোগকে জানার আগ্রহ দেখেছি।
But we lived in that mindset that we never felt that our Yoga has the power that can own the world.	আমাদের যোগে সেই ক্ষমতা রয়েছে যা বিশ্বকে আমাদের সঙ্গে যুক্ত করতে পারে, আপন করে নিতে পারে।
Last year when United Nation accepted Yoga as International Yoga Day, 192 countries of the world joined and the world acquired the pride-knowledge.	গত বছর আমার প্রস্তাবে সাড়া দিয়ে রাষ্ট্রসংঘ আন্তর্জাতিক যোগ দিবস ঘোষণা করেছে।
The world enjoyed its joining with Yoga.	বিশ্বের ১৯২টি দেশের মানুষ এর সঙ্গে যুক্ত হয়েছে।
If we feel proud of what we have, the world becomes ready to walk with us.	আমাদের যা আছে, তা নিয়ে যদি আমরা গর্ববোধ করতে পারি, তা হলে বিশ্ববাসীও আমাদের সঙ্গে পা মিলিয়ে চলতে, আমাদের অনুসরণ করতে তৈরি থাকেন।
